id,title,updatetime,wordcount,publication,tags,content,author
namsyntax_502526,Thung lũng Chết có nhiệt độ cao nhất Trái Đất trong 90 năm,,43,,Khoa học,"Mỹ - Thung lũng Chết nóng tới 54,4 độ C hôm 9/7, khi đợt sóng nhiệt lớn thứ ba trong vòng ba tuần diễn ra ở miền tây nước Mỹ.",NamSyntax/vietnamese-news-classification
namsyntax_936141,Nadal lần thứ 12 vào vòng 4 US Open,,38,,Thể thao,"Rafael Nadal giành chiến thắng khá dễ dàng trước Richard Gasquet với tỷ số 6-0, 6-1, 7-5, để lần thứ 12 góp mặt ở vòng 4 US Open 2022.",NamSyntax/vietnamese-news-classification
namsyntax_68060,"Bỏ sổ hộ khẩu giấy, đừng ‘mua’ thêm việc cho dân",,57,,Thời sự,"Loạt bài bỏ sổ hộ khẩu giấy với nhiều câu chuyện ‘cười ra nước mắt’ của VietNamNet nhận được nhiều ý kiến bạn đọc, mong muốn các bộ ngành, tỉnh thành sớm chấm dứt tình trạng người dân phải ngược xuôi đi xác nhận cư trú.",NamSyntax/vietnamese-news-classification
namsyntax_1035165,Tùng Dương diện đồ gần nửa tỷ đồng đi xem show,,38,,Giải trí,"Hà Nội - Ca sĩ Tùng Dương dát bộ cánh hàng hiệu gần 500 triệu đồng, dự đêm mở màn Tuần thời trang Quốc tế Việt Nam.",NamSyntax/vietnamese-news-classification
namsyntax_762200,'Ổ dịch hội truyền giáo có thể đã qua hai chu kỳ lây',,50,,Sức khỏe,"Giám đốc Sở Y tế TP HCM nhận định ổ dịch liên quan Hội thánh Truyền giáo Phục hưng có thể xuất hiện từ lâu, qua hai chu kỳ lây do có rất nhiều F1 dương tính.",NamSyntax/vietnamese-news-classification
namsyntax_277077,"Bị chồng Hàn bạo hành, cô dâu Việt muốn ly dị và được nuôi con",,64,,Thế giới,"Chiều 9/7, đại diện Đại sứ quán Việt Nam tại Hàn Quốc đã đến thăm hỏi chị L.N.T.G. – người bị chồng Hàn Quốc bạo hành - và làm việc với Trung tâm nhân quyền phụ nữ kết hôn di trú tỉnh Nam Jeolla và cảnh sát tỉnh này.",NamSyntax/vietnamese-news-classification
namsyntax_484047,Hãng bay của nhạc sỹ Hà Dũng sẽ hồi sinh?,,37,,Kinh doanh,"(VEF) - Hãng hàng không tư nhân đầu tiên của Việt Nam, Indochina Airlines,
dự kiến  sẽ hồi sinh và bay trở lại vào cuối năm 2011.",NamSyntax/vietnamese-news-classification
namsyntax_1193708,Đại học Hàng hải Việt Nam tăng 500 chỉ tiêu,,30,,Giáo dục,"Năm học 2021-2022, Đại học Hàng hải Việt Nam tăng chỉ tiêu lên 3.685, nhiều hơn năm ngoái gần 500.",NamSyntax/vietnamese-news-classification
namsyntax_86132,"Hộ khẩu Hà Nội ra tỉnh ngoài, có được quay lại sau lệnh siết giãn cách?",,51,,Thời sự,"Người dân Thủ đô ra khỏi thành phố trước ngày giãn cách, nay muốn quay lại để đi khám bệnh, đi làm công việc thiết yếu theo quy định thì cần các giấy tờ gì?",NamSyntax/vietnamese-news-classification
namsyntax_707925,Microsoft nới lỏng nguyên tắc kích hoạt XP đối với SP3,,49,,Khoa học,Tuần trước Microsoft đã đưa ra thông báo về các thay đổi chủ yếu trên phiên bản Window XP Service Pack 3 và đây có lẽ là thông báo cập nhật cuối cùng trong nửa đầu năm 2008.,NamSyntax/vietnamese-news-classification
